format,question,sequence
m4,My teacher clearly expresses expectations for my learning and performance in this class.,10
m4,My teacher clearly explains concepts and lessons.,20
m4,My teacher uses various teaching methods that enhance my learning.,30
m4,My teacher helps me or other students who need additional assistance.,40
m4,My teacher uses effective student discipline/classroom management.,50
m4,My teacher is well organized and prepared.,60
m4,My teacher uses technology to advance my learning.,70
m4,My teacher cares about the subject matter.,80
m4,My teacher cares about the students.,90
m4,I am motivated to work hard in this class.,100
m4,I have learned a lot in this class.,110
m4,"Overall, my teacher is an effective teacher.",120
